연월,광물종합지수,메이저금속지수,희소금속지수
2025-07,2605.6,2474.6,1369.7
2025-08,2638.6,2432.5,1517.8
2025-09,2646.7,2489.4,1499.4
2025-10,2706.2,2581.1,1473.9
2025-11,2785.2,2604.6,1624.2
2025-12,2828.3,2680.6,1778.7
2026-01,3095.8,2904.8,2273.7
2026-02,3158.4,2843.1,2506.9
2026-03,3339.1,2907.0,2707.3
2026-04,3386.2,2986.5,2771.3
2026-05,3562.7,3108.1,3086.4
2026-06,3539.3,3030.1,3051.3
2026-07,3379.9,2880.4,3010.9
