HS코드,품목명,광물분류,수입금액_2022_억원,수입금액_2023_억원,수입금액_2024_억원,수입금액_2025_억원,수출금액_2022_억원,수출금액_2023_억원,수출금액_2024_억원,수출금액_2025_억원,수입중량_2022_천kg,수입중량_2023_천kg,수입중량_2024_천kg,비고
2504,천연 흑연,흑연,1590,1394,,,,,,,46862,51322,,대중국 수입 기준 (전체국가 = 약 3030억 추정 / 중국점유율46%)
2825202000,수산화리튬,리튬,47297,80728,21860,11315,,,,, 70871,119718,101446,전세계 수입 (관세청 실측)
2836910000,탄산리튬,리튬,21225,30484,5274,4661,,,,,45220,47904,21077,전세계 수입 (관세청 실측)
2833299000,황산염 기타(코발트 추정 포함),코발트,129,133,159,168,,,,,9467,10567,13679,코발트황산염 포함 가능 — 단독 확인 필요
2846100000,세륨화합물,희토류,433,397,341,441,,,,,1678,1506,1241,전세계 수입 (관세청 실측)
2846909000,기타 희토류 화합물,희토류,523,527,,,,,,,1096,1113,,2024 미수집
2833240000,황산니켈,니켈,543,1672,1071,565,2669,3221,3463,2278,7273,27309,21218,한국은 순수출국 (수입→가공→수출 구조) | 관세청 실측
리튬합산,수산화+탄산리튬,리튬,68522,111212,27134,15976,,,,,,,,관세청 2825202000+2836910000 합산 | 2023 정점 11.1조 → 2024 리튬가격 하락으로 급감
