광물,HS코드,품목명,수입금액_2022_천달러,수입금액_2023_천달러,수입금액_2022_억원,수입금액_2023_억원,수입중량_2022_천kg,수입중량_2023_천kg,주의사항
흑연,2504,천연 흑연,123081,106828,1590,1394,46862,51322,원광 기준 (배터리 음극재 가공품 별도)
망간,2602,망간광과 정광,4,13,1,0,19,29,원광 기준 (페로망간 등 가공품 별도)
니켈,2604,니켈광과 정광,0,2,0,0,0,0,원광 기준 (황산니켈·정련니켈 별도)
코발트,2605,코발트광과 정광,0,0,0,0,0,0,원광 기준 (황산코발트 등 별도)
텅스텐,2611,텅스텐광과 정광,49,59,1,1,1,1,원광 기준 (APT·탄화텅스텐 별도)
리튬_수산화,2825,무기염기·금속산화물·금속수산화물,7133143,9033981,92160,117893,246824,347227,⚠ LiOH 외 NiO·CoO·MnO2 등 다수 포함 — 리튬 단독 수치 아님
리튬_탄산,2836,탄산염류,394901,357276,5102,4662,310652,432181,⚠ 탄산리튬 외 다수 탄산염 포함 — 리튬 단독 수치 아님
희토류,2846,희토류금속 화합물,43614,0,563,0,1919,0,희토류 무기·유기 화합물 (금속 형태·영구자석 별도)
