통계표,수요부문(열),투입부문(행),단위,변환,2020,2021,2022,2023
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","섬유 및 가죽제품","명/십억원","원자료","0.041686","0.037516","0.028006","0.021483"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","목재 및 종이, 인쇄","명/십억원","원자료","0.038111","0.036355","0.033321","0.030494"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","석탄 및 석유제품","명/십억원","원자료","0.00403","0.003995","0.004143","0.003313"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","화학제품","명/십억원","원자료","0.117819","0.124546","0.107194","0.09985"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","비금속광물제품","명/십억원","원자료","0.0151","0.015428","0.012674","0.009564"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","1차 금속제품","명/십억원","원자료","0.02111","0.020525","0.019073","0.016287"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","금속가공제품","명/십억원","원자료","0.129062","0.131179","0.11454","0.099744"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","컴퓨터, 전자 및 광학기기","명/십억원","원자료","0.024937","0.020495","0.019684","0.020851"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","전기장비","명/십억원","원자료","0.062421","0.059518","0.063478","0.05542"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","기계 및 장비","명/십억원","원자료","0.102915","0.087965","0.075777","0.069117"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","운송장비","명/십억원","원자료","0.083805","0.076351","0.077414","0.06435"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","기타 제조업 제품","명/십억원","원자료","0.014539","0.016154","0.015434","0.014711"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","제조임가공 및 산업용 장비 수리","명/십억원","원자료","0.244046","0.239806","0.229743","0.235346"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","전력, 가스 및 증기","명/십억원","원자료","0.05304","0.04682","0.042631","0.048112"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","수도, 폐기물처리 및 재활용서비스","명/십억원","원자료","0.05245","0.051684","0.039924","0.035913"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","건설","명/십억원","원자료","0.090827","0.098869","0.06577","0.044902"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","도소매 및 상품중개서비스","명/십억원","원자료","0.466257","0.440815","0.398486","0.361438"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","운송서비스","명/십억원","원자료","1.745702","1.588987","1.428033","1.314047"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","음식점 및 숙박서비스","명/십억원","원자료","0.322736","0.300222","0.297223","0.30735"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","정보통신 및 방송 서비스","명/십억원","원자료","0.100199","0.085903","0.088303","0.086297"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","금융 및 보험 서비스","명/십억원","원자료","0.144402","0.12801","0.104988","0.087936"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","부동산서비스","명/십억원","원자료","0.030228","0.028276","0.026795","0.027412"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","전문, 과학 및 기술 서비스","명/십억원","원자료","0.470989","0.434204","0.417003","0.434595"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","사업지원서비스","명/십억원","원자료","0.805422","0.768227","0.719212","0.653061"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","공공행정, 국방 및 사회보장","명/십억원","원자료","0.027156","0.027569","0.033211","0.029436"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","교육서비스","명/십억원","원자료","0.008105","0.0129","0.010316","0.00899"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","보건 및 사회복지 서비스","명/십억원","원자료","0.037628","0.045354","0.04326","0.040494"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","예술, 스포츠 및 여가 관련 서비스","명/십억원","원자료","0.081153","0.078801","0.073381","0.067764"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","기타 서비스","명/십억원","원자료","0.203575","0.185461","0.169334","0.152897"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","기타","명/십억원","원자료","0","0","0","0"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","광산품","열합","명/십억원","원자료","8.709324","7.65273","7.126271","6.505644"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","농림수산품","명/십억원","원자료","5.686047","5.143761","4.819393","4.596281"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","광산품","명/십억원","원자료","0.003128","0.002393","0.003269","0.00207"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","음식료품","명/십억원","원자료","2.779127","2.64647","2.352474","2.299313"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","섬유 및 가죽제품","명/십억원","원자료","0.034485","0.034323","0.024587","0.016078"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","목재 및 종이, 인쇄","명/십억원","원자료","0.141466","0.126269","0.113445","0.114366"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","석탄 및 석유제품","명/십억원","원자료","0.002003","0.001909","0.001704","0.001597"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","화학제품","명/십억원","원자료","0.114542","0.101075","0.086884","0.090859"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","비금속광물제품","명/십억원","원자료","0.023748","0.019458","0.017242","0.016048"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","1차 금속제품","명/십억원","원자료","0.008721","0.008121","0.007397","0.007022"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","금속가공제품","명/십억원","원자료","0.075824","0.067946","0.062067","0.060205"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","컴퓨터, 전자 및 광학기기","명/십억원","원자료","0.016116","0.012934","0.012571","0.014441"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","전기장비","명/십억원","원자료","0.017963","0.016287","0.016862","0.016528"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","기계 및 장비","명/십억원","원자료","0.018497","0.016712","0.016484","0.014244"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","운송장비","명/십억원","원자료","0.01559","0.013546","0.012255","0.010953"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","기타 제조업 제품","명/십억원","원자료","0.015763","0.014615","0.015161","0.016409"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","제조임가공 및 산업용 장비 수리","명/십억원","원자료","0.26898","0.232206","0.249855","0.254436"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","전력, 가스 및 증기","명/십억원","원자료","0.025678","0.023496","0.023199","0.026582"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","수도, 폐기물처리 및 재활용서비스","명/십억원","원자료","0.062803","0.05522","0.047169","0.044575"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","건설","명/십억원","원자료","0.028935","0.028863","0.020739","0.016414"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","도소매 및 상품중개서비스","명/십억원","원자료","1.193295","1.046078","0.90381","0.929011"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","운송서비스","명/십억원","원자료","0.622469","0.581072","0.505372","0.528575"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","음식점 및 숙박서비스","명/십억원","원자료","0.174582","0.1513","0.160747","0.172528"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","정보통신 및 방송 서비스","명/십억원","원자료","0.082496","0.068645","0.070598","0.076367"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","금융 및 보험 서비스","명/십억원","원자료","0.118283","0.112364","0.103115","0.094285"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","부동산서비스","명/십억원","원자료","0.033827","0.030809","0.029519","0.033173"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","전문, 과학 및 기술 서비스","명/십억원","원자료","0.43637","0.40852","0.412028","0.481184"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","사업지원서비스","명/십억원","원자료","0.242308","0.223974","0.227201","0.222032"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","공공행정, 국방 및 사회보장","명/십억원","원자료","0.017046","0.016746","0.019892","0.016906"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","교육서비스","명/십억원","원자료","0.008659","0.013333","0.010527","0.0103"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","보건 및 사회복지 서비스","명/십억원","원자료","0.023294","0.024724","0.026491","0.023638"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","예술, 스포츠 및 여가 관련 서비스","명/십억원","원자료","0.024561","0.02087","0.021471","0.020719"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","기타 서비스","명/십억원","원자료","0.102689","0.084465","0.089537","0.083471"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","기타","명/십억원","원자료","0","0","0","0"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","음식료품","열합","명/십억원","원자료","12.419293","11.348501","10.483064","10.310611"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","농림수산품","명/십억원","원자료","0.11155","0.133067","0.117123","0.102453"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","광산품","명/십억원","원자료","0.001335","0.001396","0.002187","0.000816"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","음식료품","명/십억원","원자료","0.024786","0.036702","0.028776","0.023512"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","섬유 및 가죽제품","명/십억원","원자료","3.765552","3.369228","2.776453","2.523412"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","목재 및 종이, 인쇄","명/십억원","원자료","0.041104","0.038819","0.03459","0.032105"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","석탄 및 석유제품","명/십억원","원자료","0.001694","0.001686","0.001475","0.001365"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","섬유 및 가죽제품","화학제품","명/십억원","원자료","0.20483","0.175376","0.155065","0.158839"
