통계표,수요부문(열),투입부문(행),단위,변환,2020,2021,2022,2023
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","화학제품","","원자료","0.013162","0.016592","0.019062","0.016732"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","비금속광물제품","","원자료","0.000967","0.001085","0.001141","0.000879"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","1차 금속제품","","원자료","0.006684","0.009836","0.010149","0.007683"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","금속가공제품","","원자료","0.003036","0.00318","0.00325","0.002999"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","컴퓨터, 전자 및 광학기기","","원자료","0.007149","0.007732","0.008221","0.007831"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","전기장비","","원자료","0.003877","0.004966","0.006563","0.00632"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","기계 및 장비","","원자료","0.005403","0.005958","0.005684","0.005275"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","운송장비","","원자료","0.003512","0.003241","0.004955","0.005347"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","기타 제조업 제품","","원자료","0.000377","0.000442","0.000417","0.000355"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","제조임가공 및 산업용 장비 수리","","원자료","0.001732","0.001593","0.001744","0.001672"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","전력, 가스 및 증기","","원자료","0.000004","0.000003","0.000004","0.000004"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","수도, 폐기물처리 및 재활용서비스","","원자료","0.000004","0.000001","0.000007","0.000016"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","건설","","원자료","0","0","0","0"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","도소매 및 상품중개서비스","","원자료","0.000974","0.001139","0.001409","0.001042"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","운송서비스","","원자료","0.017998","0.016712","0.019061","0.018581"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","음식점 및 숙박서비스","","원자료","0.002221","0.003574","0.003848","0.001876"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","정보통신 및 방송 서비스","","원자료","0.001397","0.001959","0.002591","0.002342"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","금융 및 보험 서비스","","원자료","0.000979","0.000921","0.000878","0.001367"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","부동산서비스","","원자료","0.000089","0.000073","0.000087","0.000097"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","전문, 과학 및 기술 서비스","","원자료","0.004612","0.004333","0.004942","0.005385"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","사업지원서비스","","원자료","0.006949","0.007852","0.007749","0.007931"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","공공행정, 국방 및 사회보장","","원자료","0.000254","0.000148","0.000194","0.000326"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","교육서비스","","원자료","0.000001","0","0.000001","0"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","보건 및 사회복지 서비스","","원자료","0","0","0","0"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","예술, 스포츠 및 여가 관련 서비스","","원자료","0.000065","0.000066","0.000141","0.000103"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","기타 서비스","","원자료","0.000302","0.000664","0.000444","0.000399"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","기타","","원자료","0","0","0","0"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","광산품","열합","","원자료","0.148977","0.182734","0.234259","0.195149"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","농림수산품","","원자료","0.054619","0.058899","0.077054","0.069877"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","광산품","","원자료","0.024247","0.032305","0.05002","0.040354"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","음식료품","","원자료","0.088272","0.09546","0.106395","0.095336"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","섬유 및 가죽제품","","원자료","0.003043","0.003412","0.003194","0.002686"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","목재 및 종이, 인쇄","","원자료","0.004923","0.005587","0.005887","0.005209"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","석탄 및 석유제품","","원자료","0.006879","0.009999","0.010826","0.009803"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","화학제품","","원자료","0.016358","0.0188","0.021339","0.018912"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","비금속광물제품","","원자료","0.000973","0.000986","0.00101","0.000886"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","1차 금속제품","","원자료","0.002933","0.004026","0.004061","0.003367"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","금속가공제품","","원자료","0.001855","0.002014","0.002047","0.00206"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","컴퓨터, 전자 및 광학기기","","원자료","0.003988","0.004086","0.00437","0.004628"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","전기장비","","원자료","0.001294","0.001584","0.002","0.002079"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","기계 및 장비","","원자료","0.001962","0.002226","0.001865","0.001645"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","운송장비","","원자료","0.001055","0.000966","0.001429","0.001811"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","기타 제조업 제품","","원자료","0.000326","0.000353","0.000354","0.000321"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","제조임가공 및 산업용 장비 수리","","원자료","0.001243","0.001225","0.001248","0.001142"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","전력, 가스 및 증기","","원자료","0.000003","0.000002","0.000002","0.000002"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","수도, 폐기물처리 및 재활용서비스","","원자료","0.000006","0.000001","0.00001","0.000029"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","건설","","원자료","0","0","0","0"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","도소매 및 상품중개서비스","","원자료","0.001214","0.001326","0.001499","0.00129"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","운송서비스","","원자료","0.007893","0.00724","0.008012","0.009045"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","음식료품","음식점 및 숙박서비스","","원자료","0.001341","0.002175","0.002274","0.001206"
