통계표,수요부문(열),투입부문(행),단위,변환,2020,2021,2022,2023
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","목재 및 종이, 인쇄","","원자료","0.011122","0.01248","0.012187","0.010659"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","석탄 및 석유제품","","원자료","0.040586","0.048934","0.069827","0.048253"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","화학제품","","원자료","0.07718","0.097971","0.093532","0.08053"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","비금속광물제품","","원자료","0.005951","0.006325","0.005711","0.004781"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","1차 금속제품","","원자료","0.022756","0.029508","0.028919","0.022732"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","금속가공제품","","원자료","0.04076","0.046271","0.042777","0.039405"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","컴퓨터, 전자 및 광학기기","","원자료","0.019104","0.01847","0.018441","0.017132"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","전기장비","","원자료","0.031016","0.0342","0.043657","0.038497"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","기계 및 장비","","원자료","0.038049","0.037579","0.03332","0.030862"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","운송장비","","원자료","0.051591","0.050322","0.060941","0.056165"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","기타 제조업 제품","","원자료","0.002907","0.003269","0.003258","0.003231"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","제조임가공 및 산업용 장비 수리","","원자료","0.041349","0.044427","0.048366","0.047056"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","전력, 가스 및 증기","","원자료","0.071322","0.075311","0.083867","0.090357"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","광산품","수도, 폐기물처리 및 재활용서비스","","원자료","0.009309","0.009635","0.009002","0.00777"
